INPUT:input	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
										
Что полезнее носить, боксеры или трусы?	"{""label"":""Aspect""\,""offset"":4\,""length"":8\,""segment"":""полезнее""},{""label"":""Object1""\,""offset"":21\,""length"":7\,""segment"":""боксеры""},{""label"":""Object2""\,""offset"":33\,""length"":5\,""segment"":""трусы""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca3dd0dee0e72fb99b9fa	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Как выбрать между отправкой статьи в специализированный журнал или в журнал с более широкой аудиторией?	"{""label"":""Aspect""\,""offset"":18\,""length"":16\,""segment"":""отправкой статьи""},{""label"":""Object1""\,""offset"":37\,""length"":25\,""segment"":""специализированный журнал""},{""label"":""Object2""\,""offset"":69\,""length"":33\,""segment"":""журнал с более широкой аудиторией""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca4220dee0e72fb99bc5c	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Какой из них лучше - iit или iisc?	"{""label"":""Object1""\,""offset"":21\,""length"":3\,""segment"":""iit""},{""label"":""Object2""\,""offset"":29\,""length"":4\,""segment"":""iisc""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca3ed0dee0e72fb99ba84	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Как вы думаете, воображение лучше, чем знание?	"{""label"":""Object1""\,""offset"":16\,""length"":11\,""segment"":""воображение""},{""label"":""Object2""\,""offset"":39\,""length"":6\,""segment"":""знание""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca3dd0dee0e72fb99b9fe	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Как лучше всего использовать песню во время съемок фильма или телешоу?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":69\,""segment"":""Как лучше всего использовать песню во время съемок фильма или телешоу""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca3de0dee0e72fb99ba06	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Какое определение лучше для среднего уровня по сравнению с определением для начинающих?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":86\,""segment"":""Какое определение лучше для среднего уровня по сравнению с определением для начинающих""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca4030dee0e72fb99bb5e	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Кто продал больше пластинок Элвиса или the beatles?	"{""label"":""Aspect""\,""offset"":11\,""length"":16\,""segment"":""больше пластинок""},{""label"":""Object1""\,""offset"":28\,""length"":6\,""segment"":""Элвиса""},{""label"":""Object2""\,""offset"":39\,""length"":11\,""segment"":""the beatles""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca4270dee0e72fb99bcb7	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Какие цитрусовые деревья лучше выращивать в контейнерах или в земле?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":67\,""segment"":""Какие цитрусовые деревья лучше выращивать в контейнерах или в земле""}"	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":67\,""segment"":""Какие цитрусовые деревья лучше выращивать в контейнерах или в земле""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca43f0dee0e72fb99bd7d	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Какие лучшие наушники младше 1000rs?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":35\,""segment"":""Какие лучшие наушники младше 1000rs""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca4250dee0e72fb99bc8f	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
Действительно ли люди лучше животных?	"{""label"":""Object1""\,""offset"":17\,""length"":4\,""segment"":""люди""},{""label"":""Object2""\,""offset"":28\,""length"":8\,""segment"":""животных""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef61c2289a056bcd958269	000016521d--63eca3fb0dee0e72fb99bb20	000016521d--63ef61c2289a056bcd958269	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:15:14.065
										
Насколько трудно выучить русский язык по сравнению с японским?	"{""label"":""Aspect""\,""offset"":10\,""length"":14\,""segment"":""трудно выучить""},{""label"":""Object1""\,""offset"":25\,""length"":7\,""segment"":""русский""},{""label"":""CommonObj""\,""offset"":33\,""length"":4\,""segment"":""язык""},{""label"":""Object2""\,""offset"":53\,""length"":8\,""segment"":""японским""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca3e40dee0e72fb99ba3e	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Какой телефон лучше - с одной sim-картой или с двумя sim-картами?	"{""label"":""CommonObj""\,""offset"":6\,""length"":7\,""segment"":""телефон""},{""label"":""Object1""\,""offset"":22\,""length"":18\,""segment"":""с одной sim-картой""},{""label"":""Object2""\,""offset"":45\,""length"":19\,""segment"":""с двумя sim-картами""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca4210dee0e72fb99bc50	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Что старше - jeopardy или колесо фортуны?	"{""label"":""Object1""\,""offset"":13\,""length"":8\,""segment"":""jeopardy""},{""label"":""Object2""\,""offset"":26\,""length"":14\,""segment"":""колесо фортуны""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca4020dee0e72fb99bb56	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Кто продал больше альбомов Элвиса или Майкла Джексона?	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":53\,""segment"":""Кто продал больше альбомов Элвиса или Майкла Джексона""}"	"{""label"":""Skip (sense)""\,""offset"":0\,""length"":53\,""segment"":""Кто продал больше альбомов Элвиса или Майкла Джексона""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca43a0dee0e72fb99bd57	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Что лучше evernote или Google keep?	"{""label"":""Object1""\,""offset"":10\,""length"":8\,""segment"":""evernote""},{""label"":""Object2""\,""offset"":23\,""length"":11\,""segment"":""Google keep""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca3eb0dee0e72fb99ba6d	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
С объективной точки зрения, предполагающей, что целью является максимальная жизненная полезность, лучше ли родиться мужчиной или женщиной в развитом мире?	"{""label"":""Aspect""\,""offset"":63\,""length"":33\,""segment"":""максимальная жизненная полезность""},{""label"":""Object1""\,""offset"":116\,""length"":8\,""segment"":""мужчиной""},{""label"":""Object2""\,""offset"":129\,""length"":8\,""segment"":""женщиной""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca41a0dee0e72fb99bc14	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Чем intellij лучше eclipse?	"{""label"":""Object1""\,""offset"":4\,""length"":8\,""segment"":""intellij""},{""label"":""Object2""\,""offset"":19\,""length"":7\,""segment"":""eclipse""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca3e40dee0e72fb99ba38	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Является ли Миссисипи или Алабама самым расистским штатом в США?	"{""label"":""Object1""\,""offset"":12\,""length"":9\,""segment"":""Миссисипи""},{""label"":""Object2""\,""offset"":26\,""length"":7\,""segment"":""Алабама""},{""label"":""Aspect""\,""offset"":40\,""length"":23\,""segment"":""расистским штатом в США""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca40a0dee0e72fb99bb96	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Кто сексуальнее трейсер или вдоводел?	"{""label"":""Aspect""\,""offset"":4\,""length"":11\,""segment"":""сексуальнее""},{""label"":""Object1""\,""offset"":16\,""length"":7\,""segment"":""трейсер""},{""label"":""Object2""\,""offset"":28\,""length"":8\,""segment"":""вдоводел""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca4100dee0e72fb99bbc8	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
Какой велосипед лучше - royal enfield classic 350 или bullet 350?	"{""label"":""CommonObj""\,""offset"":6\,""length"":9\,""segment"":""велосипед""},{""label"":""Object1""\,""offset"":24\,""length"":25\,""segment"":""royal enfield classic 350""},{""label"":""Object2""\,""offset"":54\,""length"":10\,""segment"":""bullet 350""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef6238dd94a23ca9cce90e	000016521d--63eca4390dee0e72fb99bd4d	000016521d--63ef6238dd94a23ca9cce90e	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:17:12.204
										
Какой чемодан мне выбрать - жесткий или мягкий?	"{""label"":""CommonObj""\,""offset"":6\,""length"":7\,""segment"":""чемодан""},{""label"":""Object1""\,""offset"":28\,""length"":7\,""segment"":""жесткий""},{""label"":""Object2""\,""offset"":40\,""length"":6\,""segment"":""мягкий""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca4030dee0e72fb99bb5c	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Какой лучше core i5 4440 или core i5 3470?	"{""label"":""Object1""\,""offset"":12\,""length"":12\,""segment"":""core i5 4440""},{""label"":""Object2""\,""offset"":29\,""length"":12\,""segment"":""core i5 3470""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca4360dee0e72fb99bd3f	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Какой из них лучше samsung galaxy s7 edge или iphone 6s?	"{""label"":""Object1""\,""offset"":19\,""length"":22\,""segment"":""samsung galaxy s7 edge""},{""label"":""Object2""\,""offset"":46\,""length"":9\,""segment"":""iphone 6s""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca40d0dee0e72fb99bbb2	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Каковы требования инженеров-биомедицинцев, какой поток лучше - биомедицинский или биотехнологический?	"{""label"":""CommonObj""\,""offset"":49\,""length"":5\,""segment"":""поток""},{""label"":""Object1""\,""offset"":63\,""length"":14\,""segment"":""биомедицинский""},{""label"":""Object2""\,""offset"":82\,""length"":18\,""segment"":""биотехнологический""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca4120dee0e72fb99bbda	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Что лучше пепси или кока-кола?	"{""label"":""Object1""\,""offset"":10\,""length"":5\,""segment"":""пепси""},{""label"":""Object2""\,""offset"":20\,""length"":9\,""segment"":""кока-кола""}"	"{""label"":""Object1""\,""offset"":10\,""length"":5\,""segment"":""пепси""},{""label"":""Object2""\,""offset"":20\,""length"":9\,""segment"":""кока-кола""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca43d0dee0e72fb99bd6b	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Что из этого лучше - информатика или компьютерная инженерия, почему?	"{""label"":""Object1""\,""offset"":21\,""length"":11\,""segment"":""информатика""},{""label"":""Object2""\,""offset"":37\,""length"":22\,""segment"":""компьютерная инженерия""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca41f0dee0e72fb99bc40	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Кто с большей вероятностью станет причиной Третьей мировой войны - Трамп или Клинтон?	"{""label"":""Aspect""\,""offset"":34\,""length"":30\,""segment"":""причиной Третьей мировой войны""},{""label"":""Object1""\,""offset"":67\,""length"":5\,""segment"":""Трамп""},{""label"":""Object2""\,""offset"":77\,""length"":7\,""segment"":""Клинтон""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca40f0dee0e72fb99bbbc	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Что лучше для сварки mig или tig?	"{""label"":""Aspect""\,""offset"":10\,""length"":10\,""segment"":""для сварки""},{""label"":""Object1""\,""offset"":21\,""length"":3\,""segment"":""mig""},{""label"":""Object2""\,""offset"":29\,""length"":3\,""segment"":""tig""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca41d0dee0e72fb99bc2c	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Что лучше - d u или m d u?	"{""label"":""Object1""\,""offset"":12\,""length"":3\,""segment"":""d u""},{""label"":""Object2""\,""offset"":20\,""length"":5\,""segment"":""m d u""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca4130dee0e72fb99bbe2	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
Какой сервер лучше ubersvn против visualsvn, есть какие-нибудь впечатления?	"{""label"":""CommonObj""\,""offset"":6\,""length"":6\,""segment"":""сервер""},{""label"":""Object1""\,""offset"":19\,""length"":7\,""segment"":""ubersvn""},{""label"":""Object2""\,""offset"":34\,""length"":9\,""segment"":""visualsvn""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef63c076b5361eee6ee167	000016521d--63eca42e0dee0e72fb99bd02	000016521d--63ef63c076b5361eee6ee167	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:23:44.945
										
Стоит ли покупать стальные или керамические ножи?	"{""label"":""Object1""\,""offset"":18\,""length"":8\,""segment"":""стальные""},{""label"":""Object2""\,""offset"":31\,""length"":12\,""segment"":""керамические""},{""label"":""CommonObj""\,""offset"":44\,""length"":4\,""segment"":""ножи""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca3d60dee0e72fb99b9c4	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Какое из них лучше xm radio или sirus radio?	"{""label"":""Object1""\,""offset"":19\,""length"":8\,""segment"":""xm radio""},{""label"":""Object2""\,""offset"":32\,""length"":11\,""segment"":""sirus radio""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca40e0dee0e72fb99bbba	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Действительно ли собаки лучше людей?	"{""label"":""Object1""\,""offset"":17\,""length"":6\,""segment"":""собаки""},{""label"":""Object2""\,""offset"":30\,""length"":5\,""segment"":""людей""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca3fd0dee0e72fb99bb2e	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Какая лампочка лучше, накаливания или люминесцентная?	"{""label"":""CommonObj""\,""offset"":6\,""length"":8\,""segment"":""лампочка""},{""label"":""Object1""\,""offset"":22\,""length"":11\,""segment"":""накаливания""},{""label"":""Object2""\,""offset"":38\,""length"":14\,""segment"":""люминесцентная""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca3db0dee0e72fb99b9ec	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Должен ли я поступить в колумбийский университет или Дартмут?	"{""label"":""Object1""\,""offset"":24\,""length"":12\,""segment"":""колумбийский""},{""label"":""CommonObj""\,""offset"":37\,""length"":11\,""segment"":""университет""},{""label"":""Object2""\,""offset"":53\,""length"":7\,""segment"":""Дартмут""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca4010dee0e72fb99bb54	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
На кантонском или мандаринском диалекте чаще говорят за пределами Китая?	"{""label"":""Object1""\,""offset"":3\,""length"":10\,""segment"":""кантонском""},{""label"":""Object2""\,""offset"":18\,""length"":12\,""segment"":""мандаринском""},{""label"":""CommonObj""\,""offset"":31\,""length"":8\,""segment"":""диалекте""},{""label"":""Aspect""\,""offset"":53\,""length"":18\,""segment"":""за пределами Китая""}"	"{""label"":""Object1""\,""offset"":3\,""length"":10\,""segment"":""кантонском""},{""label"":""Object2""\,""offset"":18\,""length"":12\,""segment"":""мандаринском""},{""label"":""CommonObj""\,""offset"":31\,""length"":8\,""segment"":""диалекте""},{""label"":""Aspect""\,""offset"":40\,""length"":31\,""segment"":""чаще говорят за пределами Китая""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca43c0dee0e72fb99bd63	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Каковы некоторые плюсы и минусы жизни рядом с морем или рекой?	"{""label"":""CommonObj""\,""offset"":32\,""length"":11\,""segment"":""жизни рядом""},{""label"":""Object1""\,""offset"":46\,""length"":5\,""segment"":""морем""},{""label"":""Object2""\,""offset"":56\,""length"":5\,""segment"":""рекой""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca3f10dee0e72fb99baa3	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Что лучше для игр - mac или Windows?	"{""label"":""Aspect""\,""offset"":10\,""length"":7\,""segment"":""для игр""},{""label"":""Object1""\,""offset"":20\,""length"":3\,""segment"":""mac""},{""label"":""Object2""\,""offset"":28\,""length"":7\,""segment"":""Windows""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca41e0dee0e72fb99bc32	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
Что лучше - популярная проприетарная программа или малоизвестная замена воспроизводимого исследования с открытым исходным кодом?	"{""label"":""Object1""\,""offset"":12\,""length"":34\,""segment"":""популярная проприетарная программа""},{""label"":""CommonObj""\,""offset"":51\,""length"":76\,""segment"":""малоизвестная замена воспроизводимого исследования с открытым исходным кодом""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef64b976b5361eee6ee2ed	000016521d--63eca4150dee0e72fb99bbec	000016521d--63ef64b976b5361eee6ee2ed	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:27:53.955
