nb_sent	word	tag
65	Что	O
65	лучше	O
65	для	O
65	окружающей	Aspect
65	среды	Aspect
65	,	O
65	настоящая	Object1
65	или	O
65	искусственная	Object2
65	елка	CommonObj
65	?	O
66	Чем	O
66	коммунистическая	Object1
66	страна	CommonObj
66	лучше	O
66	демократической	Object2
66	?	O
67	Собаки	Object1
67	лучше	O
67	людей	Object2
67	?	O
70	Стоит	O
70	ли	O
70	читать	O
70	обзоры	Object1
70	книг	Object1
70	на	Object1
70	goodreads	Object1
70	по	O
70	сравнению	O
70	с	O
70	обзорами	Object2
70	книг	Object2
70	на	Object2
70	Amazon	Object2
70	?	O
71	Кто	O
71	будет	O
71	лучшим	Aspect
71	президентом	Aspect
71	Дональд	Object1
71	Трамп	Object1
71	или	O
71	Хиллари	Object2
71	Клинтон	Object2
71	?	O
73	Что	O
73	лучше	O
73	при	O
73	болях	Aspect
73	в	Aspect
73	спине	Aspect
73	,	O
73	хиропрактика	Object1
73	или	O
73	физиотерапия	Object2
73	?	O
76	В	O
76	какой	O
76	стране	O
76	лучше	O
76	всего	O
76	работать	Aspect
76	-	O
76	в	O
76	США	Object1
76	или	O
76	Кувейте	Object2
76	?	O
77	Если	O
77	у	O
77	меня	O
77	есть	O
77	одна	O
77	неделя	O
77	,	O
77	какую	O
77	страну	O
77	мне	O
77	следует	O
77	посетить	O
77	-	O
77	Гватемалу	Object1
77	или	O
77	Никарагуа	Object2
77	,	O
77	что	O
77	я	O
77	не	O
77	должен	O
77	пропустить	O
77	ни	O
77	в	O
77	одной	O
77	из	O
77	них	O
77	,	O
77	где	O
77	лучше	O
77	заниматься	O
77	подводным	Aspect
77	плаванием	Aspect
77	?	O
78	Какой	O
78	процессор	O
78	лучше	O
78	i3	CommonObj
78	4-го	Object1
78	поколения	Object1
78	или	O
78	6-го	Object2
78	поколения	Object2
78	?	O
80	Что	O
80	мне	O
80	делать	O
80	:	O
80	получить	O
80	степень	Object1
80	mba	Object1
80	или	O
80	стать	O
80	инженером-программистом	Object2
80	?	O
81	Езда	Aspect
81	на	Aspect
81	велосипеде	Aspect
81	в	O
81	Аризоне	O
81	,	O
81	где	O
81	лучше	O
81	остановиться	O
81	-	O
81	в	O
81	Финиксе	Object1
81	или	O
81	Скоттсдейле	Object2
81	?	O
82	Как	O
82	вы	O
82	думаете	O
82	,	O
82	люди	O
82	лучше	O
82	приспособлены	Aspect
82	к	O
82	экстремальной	Object1
82	жаре	Object1
82	или	O
82	экстремальному	Object2
82	холоду	Object2
82	?	O
83	Должен	O
83	ли	O
83	я	O
83	выбрать	O
83	32	Object1
83	или	O
83	64-разрядную	O
83	версию	CommonObj
83	для	CommonObj
83	Linux	CommonObj
83	?	O
84	В	O
84	какое	O
84	время	O
84	лучше	O
84	всего	O
84	тренироваться	Aspect
84	утром	Object1
84	или	O
84	вечером	Object2
84	?	O
85	Какая	O
85	экономика	Object1
85	у	O
85	Соединенных	Object1
85	Штатов	Object1
85	по	O
85	сравнению	O
85	с	O
85	экономикой	Object2
85	Испании	Object2
85	?	O
86	Кто	O
86	был	O
86	лучшим	O
86	Дамблдором	Aspect
86	Ричард	Object1
86	Харрис	Object1
86	Рип	Object1
86	или	O
86	Майкл	Object2
86	Гэмбон	Object2
86	?	O
87	Какой	O
87	пистолет	Aspect
87	лучше	O
87	м16	Object1
87	или	O
87	insas	Object2
87	?	O
88	Я	O
88	хочу	O
88	спроектировать	O
88	и	O
88	построить	O
88	свой	O
88	собственный	Object1
88	дом	Object1
88	в	O
88	Индии	CommonObj
88	,	O
88	каковы	O
88	плюсы	O
88	и	O
88	минусы	O
88	по	O
88	сравнению	O
88	с	O
88	покупкой	Object2
88	готового	Object2
88	дома	Object2
88	?	O
89	Какой	O
89	автомобиль	O
89	лучше	O
89	:	O
89	BMW	Object1
89	или	O
89	Audi	Object2
89	?	O
92	Каковы	O
92	плюсы	O
92	и	O
92	минусы	O
92	мульчи	Object1
92	в	Object1
92	мешках	Object1
92	по	O
92	сравнению	O
92	с	O
92	городской	Object2
92	мульчей	Object2
92	?	O
94	Какая	O
94	граница	CommonObj
94	лучше	O
94	-	O
94	логарифмическая	Object1
94	или	O
94	многочленная	Object2
94	со	Object2
94	сколь	Object2
94	угодно	Object2
94	малой	Object2
94	степенью	Object2
94	?	O
95	Является	O
95	ли	O
95	режим	Object1
95	xp	Object1
95	в	Object1
95	Windows	Object1
95	7	Object1
95	лучше	O
95	,	O
95	чем	O
95	обычная	Object2
95	виртуальная	Object2
95	машина	Object2
95	?	O
98	Почему	O
98	баскетбол	Object1
98	лучше	O
98	футбола	Object2
98	?	O
99	Что	O
99	лучше	O
99	-	O
99	приседания	Object1
99	или	O
99	хруст	Object2
99	?	O
101	Что	O
101	лучше	O
101	для	O
101	cs	Aspect
101	iit	Object1
101	guwahati	Object1
101	или	O
101	iit	Object2
101	roorkee	Object2
101	?	O
102	Должна	O
102	ли	O
102	Индия	O
102	больше	O
102	инвестировать	Aspect
102	в	O
102	сельское	Object1
102	хозяйство	Object1
102	или	O
102	оборону	Object2
102	?	O
104	Какой	O
104	mp3-плеер	O
104	лучше	O
104	iriver	Object1
104	h10	Object1
104	или	O
104	музыкальный	Object2
104	автомат	Object2
104	philips	Object2
104	gogear	Object2
104	?	O
105	Должен	O
105	ли	O
105	я	O
105	вести	O
105	свой	O
105	блог	Aspect
105	на	O
105	английском	Object1
105	или	O
105	испанском	Object2
105	языках	CommonObj
105	?	O
109	Искусственные	Object1
109	подсластители	Object1
109	лучше	O
109	белого	Object2
109	сахара	Object2
109	?	O
110	Для	O
110	фруктовых	Aspect
110	деревьев	Aspect
110	лучше	O
110	посадить	O
110	одно	Object1
110	многопривитое	Object1
110	дерево	Object1
110	или	O
110	несколько	Object2
110	деревьев	Object2
110	в	Object2
110	одну	Object2
110	лунку	Object2
110	?	O
111	Должен	O
111	ли	O
111	я	O
111	купить	O
111	moto	Object1
111	g4	Object1
111	plus	Object1
111	или	O
111	xiaomi	Object2
111	mi	Object2
111	max	Object2
111	?	O
114	На	O
114	что	O
114	похожа	O
114	городская	Aspect
114	жизнь	Aspect
114	в	O
114	Индии	Object1
114	по	O
114	сравнению	O
114	с	O
114	Непалом	Object2
114	?	O
115	В	O
115	чем	O
115	больше	O
115	кофеина	Aspect
115	,	O
115	кофе	Object1
115	или	O
115	чае	Object2
115	?	O
116	В	O
116	целом	O
116	,	O
116	сложнее	O
116	ли	O
116	поступить	Aspect
116	в	Aspect
116	медицинскую	Aspect
116	школу	Aspect
116	США	Object1
116	или	O
116	Великобритании	Object2
116	?	O
118	Насколько	O
118	умен	Aspect
118	был	O
118	Стив	Object1
118	Джобс	Object1
118	по	O
118	сравнению	O
118	с	O
118	Марком	Object2
118	Цукербергом	Object2
118	?	O
119	Какой	O
119	коучинг	O
119	лучше	O
119	skd	Object1
119	или	O
119	aakash	Object2
119	в	O
119	Лакхнау	O
119	?	O
120	Как	O
120	контролируется	O
120	торговля	Aspect
120	лезвиями	Aspect
120	в	O
120	Вермонте	Object1
120	по	O
120	сравнению	O
120	с	O
120	Аризоной	Object2
120	в	O
120	соответствии	O
120	с	O
120	законодательством	O
120	о	O
120	ножах	O
120	?	O
121	Что	O
121	лучше	O
121	с	O
121	точки	O
121	зрения	O
121	надежности	O
121	и	O
121	соотношения	Aspect
121	цены	Aspect
121	и	Aspect
121	качества	Aspect
121	-	O
121	седан	Object1
121	c240	Object1
121	или	O
121	купе	Object2
121	c230	Object2
121	?	O
122	Что	O
122	предпочтительнее	O
122	-	O
122	червячное	Object1
122	литье	Object1
122	или	O
122	чай	Object2
122	для	Object2
122	червячного	Object2
122	литья	Object2
122	?	O
123	Что	O
123	интереснее	Aspect
123	,	O
123	информатика	Object1
123	или	O
123	вычислительная	Object2
123	техника	Object2
123	?	O
124	Должен	O
124	ли	O
124	я	O
124	изучать	O
124	Python	Object1
124	или	O
124	R	Object2
124	для	O
124	анализа	Aspect
124	данных	Aspect
124	?	O
127	Если	O
127	я	O
127	хочу	O
127	быть	O
127	евреем	O
127	,	O
127	должен	O
127	ли	O
127	я	O
127	обратиться	O
127	в	O
127	консервативный	Object1
127	иудаизм	Object1
127	или	O
127	современный	Object2
127	ортодоксальный	Object2
127	иудаизм	Object2
127	?	O
128	Какой	O
128	стадион	CommonObj
128	больше	Aspect
128	-	O
128	"	O
128	Реал	Object1
128	Мадрид	Object1
128	"	O
128	или	O
128	"	O
128	Барселона	Object2
128	"	O
128	?	O
130	Когда	O
130	и	O
130	почему	O
130	черный	Object1
130	перец	Object1
130	стал	O
130	таким	O
130	популярным	O
130	,	O
130	если	O
130	он	O
130	такой	O
130	безвкусный	O
130	по	O
130	сравнению	O
130	с	O
130	белым	Object2
130	перцем	Object2
130	и	O
130	в	O
130	чем	O
130	разница	O
130	?	O
131	Что	O
131	лучше	O
131	снижает	Aspect
131	температуру	Aspect
131	у	Aspect
131	детей	Aspect
131	,	O
131	ибупрофен	Object1
131	или	O
131	аспирин	Object2
131	?	O
132	Что	O
132	лучше	O
132	для	O
132	ваших	O
132	волос	Aspect
132	-	O
132	шампунь	Object1
132	или	O
132	шампунь	Object2
132	с	Object2
132	кондиционером	Object2
132	?	O
134	При	O
134	варке	Aspect
134	колбасы	Aspect
134	что	O
134	важнее	O
134	-	O
134	температура	Object1
134	или	O
134	влажность	Object2
134	?	O
135	Что	O
135	лучше	O
135	-	O
135	слепо	Object1
135	соответствовать	Object1
135	требованиям	Object1
135	проекта	Object1
135	или	O
135	соответствовать	Object2
135	духу	Object2
135	требований	Object2
135	проекта	Object2
135	?	O
136	Что	O
136	лучше	O
136	для	O
136	ключей	Aspect
136	gpg	CommonObj
136	rsa	Object1
136	или	O
136	dsa	Object2
136	?	O
138	Паста	Object1
138	полезнее	Aspect
138	пиццы	Object2
138	?	O
139	Что	O
139	лучше	O
139	:	O
139	ASP	Object1
139	или	O
139	PHP	Object2
139	?	O
142	Что	O
142	проще	Aspect
142	pte	Object1
142	или	O
142	ielts	Object2
142	?	O
143	Какое	O
143	шоу	O
143	смешнее	Aspect
143	"	O
143	Гриффины	Object1
143	"	O
143	или	O
143	"	O
143	Симпсоны	Object2
143	"	O
143	?	O
145	В	O
145	каких	O
145	аспектах	O
145	Хиллари	Object1
145	Клинтон	Object1
145	лучше	O
145	Трампа	Object2
145	?	O
146	Какая	O
146	ОС	O
146	лучше	O
146	windows	Object1
146	или	O
146	linux	Object2
146	?	O
147	Газовая	Object1
147	или	O
147	угольная	Object2
147	решетка	CommonObj
147	,	O
147	какую	O
147	купить	O
147	?	O
148	Что	O
148	лучше	O
148	intel	CommonObj
148	i5	Object1
148	6-го	Object1
148	поколения	Object1
148	или	O
148	i7	Object2
148	5-го	Object2
148	поколения	Object2
148	?	O
149	Должен	O
149	ли	O
149	я	O
149	сдавать	O
149	IELTS	Object1
149	или	O
149	TOEFL	Object2
149	?	O
152	Выбирая	O
152	двухъядерный	Object1
152	или	O
152	четырехъядерный	Object2
152	процессор	CommonObj
152	,	O
152	что	O
152	лучше	O
152	?	O
153	Что	O
153	проще	Aspect
153	сделать	Aspect
153	лавовую	Object1
153	лампу	Object1
153	или	O
153	слизь	Object2
153	?	O
156	Что	O
156	лучше	O
156	разрабатывать	Aspect
156	приложения	Aspect
156	,	O
156	используя	O
156	технологию	Object1
156	,	Object1
156	специфичную	Object1
156	для	Object1
156	конкретной	Object1
156	платформы	Object1
156	,	O
156	или	O
156	веб-технологии	Object2
156	?	O
157	В	O
157	чем	O
157	разница	O
157	между	O
157	марками	O
157	нержавеющей	CommonObj
157	стали	CommonObj
157	ss304	Object1
157	и	O
157	sus304	Object2
157	?	O
159	Что	O
159	лучше	O
159	-	O
159	ps4	Object1
159	или	O
159	xbox	Object2
159	one	Object2
159	?	O
162	Действительно	O
162	ли	O
162	quora	Object1
162	лучше	O
162	,	O
162	чем	O
162	Google	Object2
162	для	O
162	получения	Aspect
162	ответов	Aspect
162	?	O
163	Какой	O
163	из	O
163	них	O
163	лучше	O
163	для	O
163	лучшего	O
163	карьерного	Aspect
163	роста	Aspect
163	oracle	Object1
163	dba	Object1
163	или	O
163	sql	Object2
163	dba	Object2
163	?	O
165	При	O
165	выпечке	Aspect
165	лучше	O
165	использовать	O
165	газовую	Object1
165	или	O
165	электрическую	Object2
165	духовку	CommonObj
165	?	O
166	Я	O
166	программист	Aspect
166	,	O
166	должен	O
166	ли	O
166	я	O
166	купить	O
166	macbook	Object1
166	или	O
166	ноутбук	Object2
166	с	Object2
166	Windows	Object2
166	?	O
168	Какой	O
168	вариант	O
168	лучше	O
168	при	O
168	планировании	Aspect
168	поездки	Aspect
168	из	Aspect
168	Бангалора	Aspect
168	в	Aspect
168	Гоа	Aspect
168	:	O
168	поехать	Object1
168	на	Object1
168	машине	Object1
168	и	Object1
168	начать	Object1
168	движение	Object1
168	ночью	Object1
168	или	O
168	поехать	Object2
168	поездом	Object2
168	в	Object2
168	Гоа	Object2
168	и	Object2
168	зарезервировать	Object2
168	машину	Object2
168	там	Object2
168	?	O
172	Что	O
172	лучше	O
172	Болливуд	Object1
172	или	O
172	Колливуд	Object2
172	?	O
173	Что	O
173	более	O
173	экологично	Aspect
173	,	O
173	гибрид	Object1
173	или	O
173	дизель	Object2
173	?	O
175	Как	O
175	проходят	O
175	президентские	Object1
175	выборы	Object1
175	в	Object1
175	США	Object1
175	по	O
175	сравнению	O
175	с	O
175	президентскими	Object2
175	выборами	Object2
175	в	Object2
175	Мексике	Object2
175	?	O
176	Какой	O
176	юридический	CommonObj
176	факультет	CommonObj
176	лучше	O
176	-	O
176	БГУ	Object1
176	или	O
176	университет	Object2
176	Османии	Object2
176	?	O
179	Какая	O
179	файловая	O
179	система	O
179	должна	O
179	быть	O
179	на	O
179	моем	O
179	жестком	O
179	диске	O
179	usb	Aspect
179	fat32	Object1
179	или	O
179	ntfs	Object2
179	?	O
180	Каковы	O
180	плюсы	O
180	и	O
180	минусы	O
180	доверенного	Object1
180	хранилища	Object1
180	по	O
180	сравнению	O
180	с	O
180	лицензированием	Object2
180	сертификатов	Object2
180	?	O
183	С	O
183	кем	O
183	бы	O
183	вы	O
183	предпочли	O
183	встречаться	Aspect
183	-	O
183	с	O
183	моделью	Object1
183	или	O
183	художником	Object2
183	?	O
185	Что	O
185	лучше	O
185	Бали	Object1
185	или	O
185	Пхукет	Object2
185	для	O
185	мужчин-путешественников	O
185	,	O
185	ищущих	O
185	лучшие	O
185	пляжи	O
185	,	O
185	ночную	O
185	жизнь	O
185	и	O
185	развлечения	Aspect
185	?	O
186	Кто	O
186	более	O
186	могущественный	Aspect
186	джедай	Aspect
186	Оби	Object1
186	Ван	Object1
186	или	O
186	Аникен	Object2
186	?	O
187	В	O
187	чем	O
187	разница	O
187	между	O
187	метро	Object1
187	Мумбаи	Object1
187	и	O
187	монорельсовой	Object2
187	дорогой	Object2
187	Мумбаи	Object2
187	-	O
187	они	O
187	одинаковые	O
187	или	O
187	разные	O
187	?	O
188	Какой	O
188	алгоритм	O
188	лучше	O
188	,	O
188	быстрая	Object1
188	сортировка	Object1
188	или	O
188	сортировка	Object2
188	слиянием	Object2
188	?	O
189	Является	O
189	ли	O
189	наука	Object1
189	о	Object1
189	земле	Object1
189	тем	O
189	же	O
189	самым	O
189	,	O
189	что	O
189	и	O
189	наука	Object2
189	об	Object2
189	окружающей	Object2
189	среде	Object2
189	,	O
189	если	O
189	нет	O
189	,	O
189	то	O
189	чем	O
189	они	O
189	отличаются	O
189	?	O
190	Какой	O
190	велосипед	CommonObj
190	предпочтительнее	O
190	в	O
190	Бангалоре	Aspect
190	fz	Object1
190	v	Object1
190	2	Object1
190	или	O
190	pulsar	Object2
190	200ns	Object2
190	?	O
193	Какое	O
193	программное	CommonObj
193	обеспечение	CommonObj
193	лучше	O
193	для	O
193	студента-механика	Aspect
193	catia	Object1
193	или	O
193	autocad	Object2
193	?	O
194	Стоит	O
194	ли	O
194	купить	O
194	Xbox	Object1
194	или	O
194	PlayStation	Object2
194	?	O
195	Какой	O
195	ноутбук	CommonObj
195	долговечнее	Aspect
195	:	O
195	HP	Object1
195	или	O
195	Dell	Object2
195	?	O
196	Что	O
196	лучше	O
196	-	O
196	независимость	Object1
196	от	Object1
196	платформы	Object1
196	или	O
196	нейтральность	Object2
196	архитектуры	Object2
196	?	O
200	Дешевле	Aspect
200	ли	O
200	добраться	Aspect
200	до	Aspect
200	Кубы	Aspect
200	из	O
200	Майами	Object1
200	или	O
200	Канкуна	Object2
200	?	O
203	Почему	O
203	бронза	Object1
203	предпочтительнее	O
203	медного	Object2
203	металла	Object2
203	для	O
203	изготовления	Aspect
203	статуй	Aspect
203	?	O
205	Что	O
205	больше	Aspect
205	-	O
205	США	Object1
205	или	O
205	Китай	Object2
205	?	O
206	Что	O
206	сложнее	Aspect
206	,	O
206	лыжи	Object1
206	или	O
206	сноуборд	Object2
206	?	O
208	Что	O
208	предпочтительнее	O
208	eurail	Object1
208	pass	Object1
208	или	O
208	покупка	Object2
208	пропуска	Object2
208	на	Object2
208	месте	Object2
208	?	O
209	Какой	O
209	вариант	O
209	лучше	O
209	mkcg	Object1
209	в	Object1
209	Берхампуре	Object1
209	или	O
209	kgmc	Object2
209	в	Object2
209	Манипале	Object2
209	?	O
212	Что	O
212	лучше	O
212	-	O
212	купить	O
212	новую	Object1
212	или	O
212	подержанную	Object2
212	понтонную	CommonObj
212	лодку	CommonObj
212	для	O
212	полноценного	Aspect
212	отдыха	Aspect
212	на	Aspect
212	озере	Aspect
212	?	O
213	Что	O
213	такое	O
213	gate	Object1
213	,	O
213	насколько	O
213	это	O
213	сложно	Aspect
213	по	O
213	сравнению	O
213	с	O
213	jee	Object2
213	?	O
214	Где	O
214	лучше	O
214	всего	O
214	жить	Aspect
214	в	O
214	Химачале	Object1
214	или	O
214	Уттаракханде	Object2
214	?	O
215	Каковы	O
215	различия	O
215	в	O
215	студенческой	Aspect
215	нагрузке	Aspect
215	в	O
215	колледжах	Object1
215	гуманитарных	Object1
215	наук	Object1
215	по	O
215	сравнению	O
215	с	O
215	исследовательскими	Object2
215	университетами	Object2
215	?	O
216	Каковы	O
216	плюсы	O
216	и	O
216	минусы	O
216	резиновой	Object1
216	мульчи	CommonObj
216	по	O
216	сравнению	O
216	с	O
216	древесной	Object2
216	?	O
217	Должен	O
217	ли	O
217	я	O
217	присоединиться	O
217	к	O
217	tcs	Object1
217	или	O
217	qainfotech	Object2
217	?	O
222	Кто	O
222	сильнее	Aspect
222	,	O
222	Халк	Object1
222	или	O
222	Супермен	Object2
222	?	O
225	Кто	O
